#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent,,,,
,World,"49,034,766","+19,988","1,239,660",+783,"34,984,041","12,811,065","90,034","6,291",159.0,,,,All,,,,
,Asia,"14,138,234","+2,849","250,806",+32,"12,620,885","1,266,543","22,649",,,,,,Asia,,,,
,North America,"11,813,052","+5,862","360,400",+552,"7,760,985","3,691,667","21,812",,,,,,North America,,,,
,Europe,"11,310,734","+11,128","283,103",+189,"4,164,627","6,863,004","25,272",,,,,,Europe,,,,
1,USA,"9,919,522",,"240,953",,"6,340,472","3,338,097","18,160","29,907",726,"153,593,809","463,079","331,679,824",North America,,,,
,South America,"9,877,810",+139,"300,040",+10,"8,855,419","722,351","17,845",,,,,,South America,,,,
2,India,"8,411,724",+690,"125,029",,"7,765,966","520,729","8,944","6,075",90,"115,429,095","83,359","1,384,715,664",Asia,,,,
3,Brazil,"5,614,258",,"161,779",,"5,064,344","388,135","8,318","26,347",759,"21,900,000","102,776","213,085,794",South America,,,,
,Africa,"1,854,169",,"44,316",,"1,548,650","261,203","2,428",,,,,,Africa,,,,
4,Russia,"1,712,858",,"29,509",,"1,279,169","404,180","2,300","11,735",202,"63,000,000","431,636","145,956,429",Europe,,,,
5,France,"1,601,367",,"39,037",,"124,278","1,438,052","4,230","24,514",598,"17,055,801","261,095","65,324,114",Europe,,,,
6,Spain,"1,365,895",,"38,486",,N/A,N/A,"2,802","29,210",823,"18,072,174","386,479","46,761,136",Europe,,,,
7,Argentina,"1,217,028",,"32,766",,"1,030,137","154,125","4,713","26,842",723,"3,142,837","69,317","45,339,899",South America,,,,
8,UK,"1,123,197",,"48,120",,N/A,N/A,"1,191","16,515",708,"35,241,533","518,178","68,010,512",Europe,,,,
9,Colombia,"1,117,977",,"32,209",,"1,011,166","74,602","2,376","21,891",631,"5,258,238","102,959","51,071,028",South America,,,,
10,Mexico,"949,197","+5,567","93,772",+544,"701,837","153,588","2,800","7,335",725,"2,465,699","19,054","129,402,754",North America,,,,
11,Peru,"914,722",,"34,730",,"838,265","41,727","1,044","27,610","1,048","4,611,380","139,188","33,130,547",South America,,,,
12,Italy,"824,879",,"40,192",,"312,339","472,348","2,391","13,650",665,"16,717,651","276,642","60,430,550",Europe,,,,
13,South Africa,"732,414",,"19,677",,"671,579","41,158",546,"12,296",330,"4,917,625","82,556","59,567,472",Africa,,,,
14,Iran,"654,936",,"36,985",,"505,287","112,664","5,472","7,763",438,"5,110,752","60,579","84,364,914",Asia,,,,
15,Germany,"619,116",,"11,190",,"391,600","216,326","2,653","7,381",133,"23,393,311","278,898","83,877,696",Europe,,,,
16,Chile,"516,582",,"14,404",,"493,250","8,928",725,"26,943",751,"4,462,086","232,724","19,173,266",South America,,,,
17,Iraq,"489,571",,"11,175",,"420,206","58,190",412,"12,079",276,"2,950,888","72,806","40,530,983",Asia,,,,
18,Belgium,"479,341","+11,128","12,520",+189,"27,987","438,834","1,428","41,297","1,079","5,174,287","445,781","11,607,251",Europe,,,,
19,Poland,"466,679",,"6,842",,"177,681","282,156","1,615","12,336",181,"5,030,381","132,966","37,832,035",Europe,,,,
20,Ukraine,"430,467",,"7,924",,"184,782","237,761",177,"9,864",182,"3,312,549","75,905","43,640,875",Europe,,,,
21,Indonesia,"425,796",,"14,348",,"357,142","54,306",,"1,551",52,"4,678,096","17,041","274,527,061",Asia,,,,
22,Bangladesh,"416,006",,"6,021",,"333,588","76,397",,"2,517",36,"2,404,902","14,552","165,259,036",Asia,,,,
23,Czechia,"391,945",,"4,330",,"214,272","173,343","1,156","36,576",404,"2,472,293","230,712","10,715,944",Europe,,,,
24,Netherlands,"390,488",,"7,769",,N/A,N/A,622,"22,771",453,"3,327,701","194,056","17,148,155",Europe,,,,
25,Philippines,"389,725",,"7,409",,"349,543","32,773","1,483","3,540",67,"4,935,203","44,831","110,085,388",Asia,,,,
26,Turkey,"386,820",,"10,639",,"332,379","43,802","2,564","4,569",126,"14,700,951","173,660","84,653,848",Asia,,,,
27,Saudi Arabia,"349,386",,"5,489",,"336,068","7,829",763,"9,982",157,"8,333,264","238,088","35,000,813",Asia,,,,
28,Pakistan,"340,251","+1,376","6,923",+30,"317,086","16,242",830,"1,530",31,"4,609,513","20,730","222,364,036",Asia,,,,
29,Israel,"317,863",,"2,639",,"306,113","9,111",331,"34,559",287,"4,761,559","517,696","9,197,590",Asia,,,,
30,Romania,"276,802",,"7,540",,"191,085","78,177","1,014","14,423",393,"3,379,609","176,092","19,192,290",Europe,,,,
31,Canada,"251,338",,"10,381",,"207,998","32,959",234,"6,639",274,"9,763,591","257,906","37,857,209",North America,,,,
32,Morocco,"240,951",,"4,059",,"197,215","39,677",874,"6,501",110,"3,430,860","92,571","37,062,105",Africa,,,,
33,Switzerland,"202,504",,"2,628",,"87,100","112,776",392,"23,339",303,"2,119,502","244,276","8,676,666",Europe,,,,
34,Nepal,"185,974",,"1,052",,"148,408","36,514",,"6,344",36,"1,507,190","51,410","29,316,952",Asia,,,,
35,Ecuador,"171,783",,"12,730",,"149,048","10,005",338,"9,686",718,"558,584","31,495","17,735,474",South America,,,,
36,Portugal,"161,350",,"2,740",,"91,453","67,157",320,"15,840",269,"3,562,801","349,766","10,186,233",Europe,,,,
37,Bolivia,"142,201",+139,"8,768",+10,"113,386","20,047",71,"12,125",748,"336,834","28,720","11,728,056",South America,,,,
38,Sweden,"141,764",,"6,002",,N/A,N/A,90,"14,007",593,"2,242,469","221,561","10,121,226",Europe,,,,
39,UAE,"138,599",,508,,"136,118","1,973",,"13,955",51,"13,712,882","1,380,707","9,931,784",Asia,,,,
40,Panama,"136,567",,"2,756",,"115,078","18,733",117,"31,480",635,"694,228","160,027","4,338,182",North America,,,,
41,Qatar,"133,619",,232,,"130,680","2,707",40,"47,588",83,"1,001,488","356,680","2,807,805",Asia,,,,
42,Austria,"132,515",,"1,268",,"80,604","50,643",407,"14,684",141,"2,362,948","261,842","9,024,330",Europe,,,,
43,Kuwait,"129,638",,799,,"120,564","8,275",115,"30,202",186,"947,921","220,839","4,292,369",Asia,,,,
44,Dominican Republic,"128,824",,"2,260",,"106,650","19,914",162,"11,834",208,"612,758","56,290","10,885,675",North America,,,,
45,Oman,"117,167",,"1,286",,"107,368","8,513",145,"22,747",250,"376,700","73,134","5,150,841",Asia,,,,
46,Kazakhstan,"114,826",+591,"1,857",,"107,339","5,630",221,"6,090",98,"3,645,655","193,357","18,854,495",Asia,,,,
47,Costa Rica,"114,367",,"1,444",,"70,002","42,921",177,"22,380",283,"326,539","63,898","5,110,284",North America,,,,
48,Guatemala,"109,849",,"3,766",,"99,753","6,330",5,"6,093",209,"446,889","24,787","18,029,415",North America,,,,
49,Egypt,"108,530",,"6,329",,"100,006","2,195",41,"1,054",61,"135,000","1,311","102,997,143",Africa,,,,
50,Japan,"103,838",,"1,794",,"95,113","6,931",183,822,14,"2,787,543","22,064","126,340,017",Asia,,,,
51,Belarus,"103,295",,998,,"89,131","13,166",,"10,933",106,"2,600,742","275,262","9,448,231",Europe,,,,
52,Armenia,"99,563",,"1,476",,"60,135","37,952",,"33,577",498,"423,485","142,819","2,965,184",Asia,,,,
53,Honduras,"99,347",+223,"2,736",+6,"42,574","54,037",24,"9,976",275,"231,650","23,261","9,958,901",North America,,,,
54,Ethiopia,"98,391",,"1,508",,"57,114","39,769",346,849,13,"1,510,144","13,026","115,933,899",Africa,,,,
55,Jordan,"95,864",,"1,069",,"8,336","86,459",323,"9,363",104,"1,980,683","193,458","10,238,303",Asia,,,,
56,Hungary,"94,916",,"2,147",,"22,823","69,946",378,"9,834",222,"1,147,616","118,903","9,651,712",Europe,,,,
57,Venezuela,"93,921",,819,,"88,701","4,401",117,"3,306",29,"2,168,642","76,340","28,407,554",South America,,,,
58,Lebanon,"89,186",,683,,"45,820","42,683",264,"13,087",100,"1,288,840","189,128","6,814,657",Asia,,,,
59,China,"86,151",+36,"4,634",,"81,098",419,9,60,3,"160,000,000","111,163","1,439,323,776",Asia,,,,
60,Bahrain,"82,786",,328,,"80,174","2,284",19,"48,091",191,"1,803,190","1,047,478","1,721,458",Asia,,,,
61,Moldova,"79,566",,"1,866",,"59,220","18,480",776,"19,740",463,"386,108","95,793","4,030,662",Europe,,,,
62,Slovakia,"68,734",,286,,"16,426","52,022",216,"12,587",52,"858,479","157,214","5,460,570",Europe,,,,
63,Bulgaria,"68,345",,"1,518",,"22,709","44,118",250,"9,862",219,"770,726","111,217","6,929,923",Europe,,,,
64,Uzbekistan,"68,009",,579,,"65,254","2,176",257,"2,022",17,"1,377,915","40,965","33,636,678",Asia,,,,
65,Tunisia,"66,334",,"1,577",,"36,727","28,030",269,"5,592",133,"368,787","31,091","11,861,529",Africa,,,,
66,Paraguay,"65,778",,"1,462",,"45,794","18,522",119,"9,183",204,"377,309","52,676","7,162,871",South America,,,,
67,Libya,"65,440",,907,,"38,110","26,423",,"9,479",131,"335,282","48,566","6,903,589",Africa,,,,
68,Ireland,"64,046",,"1,933",,"23,364","38,749",38,"12,921",390,"1,691,851","341,312","4,956,908",Europe,,,,
69,Nigeria,"63,508",,"1,155",,"59,748","2,605",10,306,6,"673,183","3,238","207,880,458",Africa,,,,
70,Kyrgyzstan,"61,309",,"1,167",,"52,343","7,799",24,"9,344",178,"430,463","65,607","6,561,266",Asia,,,,
71,Azerbaijan,"60,873",,794,,"46,465","13,614",,"5,985",78,"1,404,543","138,094","10,170,942",Asia,,,,
72,Algeria,"60,169",,"2,011",,"41,244","16,914",29,"1,364",46,,,"44,123,213",Africa,,,,
73,Kenya,"59,595",,"1,072",,"39,193","19,330",62,"1,100",20,"723,210","13,349","54,176,332",Africa,,,,
74,Croatia,"59,415",,683,,"43,376","15,356",122,"14,504",167,"532,288","129,943","4,096,315",Europe,,,,
75,Singapore,"58,043",,28,,"57,949",66,,"9,894",5,"3,879,052","661,237","5,866,357",Asia,,,,
76,Myanmar,"57,935",,"1,352",,"42,178","14,405",,"1,062",25,"750,950","13,770","54,536,930",Asia,,,,
77,Bosnia and Herzegovina,"57,506",,"1,402",,"29,689","26,415",,"17,567",428,"332,274","101,501","3,273,603",Europe,,,,
78,Palestine,"56,672",,508,,"48,680","7,484",,"11,022",99,"547,323","106,444","5,141,903",Asia,,,,
79,Serbia,"55,676",,861,,"31,536","23,279",57,"6,381",99,"1,388,716","159,166","8,724,955",Europe,,,,
80,Denmark,"51,753",,733,,"37,756","13,264",24,"8,924",126,"5,578,763","961,965","5,799,338",Europe,,,,
81,Greece,"49,807",,702,,"9,989","39,116",187,"4,787",67,"1,876,471","180,342","10,405,077",Europe,,,,
82,Georgia,"49,218",,401,,"33,459","15,358",,"12,346",101,"950,253","238,369","3,986,472",Asia,,,,
83,Ghana,"48,788",,320,,"47,521",947,14,"1,559",10,"543,316","17,361","31,295,076",Africa,,,,
84,Afghanistan,"41,935",,"1,554",,"34,440","5,941",93,"1,069",40,"124,497","3,174","39,227,958",Asia,,,,
85,Slovenia,"41,094",,471,,"17,190","23,433",161,"19,766",227,"387,918","186,585","2,079,038",Europe,,,,
,Oceania,"40,046",+10,980,,"32,816","6,250",24,,,,,,Australia/Oceania,,,,
86,Malaysia,"36,434",,277,,"25,654","10,503",78,"1,121",9,"2,215,701","68,156","32,509,474",Asia,,,,
87,North Macedonia,"36,372",,"1,084",,"22,526","12,762",25,"17,458",520,"262,446","125,973","2,083,344",Europe,,,,
88,El Salvador,"34,782",,997,,"30,707","3,078",42,"5,353",153,"487,782","75,071","6,497,634",North America,,,,
89,Australia,"27,643",+9,907,,"25,425","1,311",1,"1,080",35,"9,018,120","352,237","25,602,402",Australia/Oceania,,,,
90,S. Korea,"27,195",+145,476,+1,"24,821","1,898",50,530,9,"2,686,314","52,380","51,284,667",Asia,,,,
91,Norway,"23,229",,284,,"11,863","11,082",14,"4,273",52,"1,760,422","323,845","5,435,996",Europe,,,,
92,Albania,"22,721",,543,,"11,696","10,482",14,"7,898",189,"127,148","44,199","2,876,692",Europe,,,,
93,Cameroon,"22,103",,429,,"21,151",523,61,826,16,"149,000","5,566","26,770,983",Africa,,,,
94,Montenegro,"21,533",,328,,"15,115","6,090",28,"34,283",522,"95,355","151,816","628,094",Europe,,,,
95,Luxembourg,"21,147",,177,,"11,519","9,451",36,"33,594",281,"1,119,084","1,777,774","629,486",Europe,,,,
96,Ivory Coast,"20,789",,126,,"20,466",197,,782,5,"197,091","7,409","26,600,848",Africa,,,,
97,Lithuania,"19,091",,186,,"5,285","13,620",57,"7,048",69,"1,064,817","393,103","2,708,749",Europe,,,,
98,Finland,"17,119",,361,,"12,700","4,058",15,"3,088",65,"1,575,708","284,232","5,543,738",Europe,,,,
99,Madagascar,"17,111",,244,,"16,409",458,16,613,9,"89,524","3,205","27,933,282",Africa,,,,
100,Zambia,"16,770",,349,,"15,827",594,,904,19,"283,070","15,253","18,558,635",Africa,,,,
101,Senegal,"15,668",,326,,"15,273",69,4,927,19,"211,116","12,497","16,893,960",Africa,,,,
102,Sudan,"13,943",,837,,"6,764","6,342",,315,19,,,"44,198,765",Africa,,,,
103,Uganda,"13,568",,117,,"7,645","5,806",,293,3,"560,859","12,132","46,228,749",Africa,,,,
104,Mozambique,"13,391",,97,,"11,177","2,117",,424,3,"195,643","6,201","31,552,526",Africa,,,,
105,Namibia,"13,090",,133,,"11,438","1,519",4,"5,120",52,"130,957","51,221","2,556,720",Africa,,,,
106,Sri Lanka,"12,570",,29,,"6,623","5,918",,586,1,"545,043","25,416","21,444,633",Asia,,,,
107,Guinea,"12,363",,73,,"10,751","1,539",24,933,6,"45,747","3,452","13,253,795",Africa,,,,
108,Angola,"12,102",,299,,"5,350","6,453",36,364,9,"85,213","2,566","33,211,689",Africa,,,,
109,Maldives,"11,893",,38,,"11,010",845,12,"21,869",70,"150,743","277,194","543,818",Asia,,,,
110,DRC,"11,450",,315,,"10,786",349,,127,3,,,"90,482,226",Africa,,,,
111,Tajikistan,"11,219",,83,,"10,494",642,,"1,167",9,,,"9,610,860",Asia,,,,
112,French Guiana,"10,620",,70,,"9,995",555,1,"35,245",232,"75,945","252,044","301,316",South America,,,,
113,French Polynesia,"9,754",,39,,"4,842","4,873",23,"34,653",139,"26,355","93,632","281,475",Australia/Oceania,,,,
114,Jamaica,"9,373",,217,,"4,745","4,411",6,"3,160",73,"98,937","33,361","2,965,684",North America,,,,
115,Cabo Verde,"9,149",,97,,"8,289",763,23,"16,394",174,"94,729","169,741","558,081",Africa,,,,
116,Haiti,"9,109",,232,,"7,589","1,288",,796,20,"33,073","2,888","11,450,658",North America,,,,
117,Gabon,"9,005",,55,,"8,846",104,3,"4,014",25,"249,580","111,238","2,243,657",Africa,,,,
118,Zimbabwe,"8,444",,248,,"7,975",221,,565,17,"166,266","11,131","14,937,621",Africa,,,,
119,Guadeloupe,"7,903",,133,,"2,242","5,528",19,"19,750",332,"70,195","175,423","400,148",North America,,,,
120,Botswana,"7,835",,27,,"5,534","2,274",1,"3,309",11,"330,611","139,622","2,367,903",Africa,,,,
121,Mauritania,"7,777",,165,,"7,463",149,3,"1,658",35,"89,940","19,172","4,691,219",Africa,,,,
122,Cuba,"7,184",,129,,"6,502",553,6,634,11,"883,701","78,037","11,324,186",North America,,,,
123,Latvia,"7,119",,88,,"1,444","5,587",10,"3,789",47,"480,536","255,769","1,878,786",Europe,,,,
124,Bahamas,"6,882",,150,,"4,779","1,953",7,"17,443",380,"37,092","94,011","394,549",North America,,,,
125,Malta,"6,764",,70,,"4,765","1,929",15,"15,305",158,"351,992","796,443","441,955",Europe,,,,
126,Syria,"6,040",,305,,"2,195","3,540",,342,17,,,"17,645,608",Asia,,,,
127,Réunion,"6,037",,26,,"4,884","1,127",12,"6,726",29,"35,419","39,462","897,538",Africa,,,,
128,Eswatini,"5,967",,117,,"5,694",156,13,"5,125",100,"54,637","46,926","1,164,333",Africa,,,,
129,Malawi,"5,940",,184,,"5,338",418,4,308,10,"64,707","3,353","19,298,150",Africa,,,,
130,Trinidad and Tobago,"5,774",,111,,"5,024",639,14,"4,121",79,"33,752","24,090","1,401,074",North America,,,,
131,Djibouti,"5,599",,61,,"5,479",59,,"5,639",61,"86,224","86,835","992,960",Africa,,,,
132,Nicaragua,"5,591",,157,,"4,225","1,209",,841,24,,,"6,651,854",North America,,,,
133,Estonia,"5,464",,73,,"4,032","1,359",2,"4,118",55,"271,257","204,437","1,326,848",Europe,,,,
134,Hong Kong,"5,356",,107,,"5,126",123,8,712,14,"3,707,664","493,162","7,518,145",Asia,,,,
135,Congo,"5,348",,92,,"3,887","1,369",,961,17,,,"5,564,376",Africa,,,,
136,Cyprus,"5,333",,27,,"1,882","3,424",7,"4,406",22,"498,638","411,955","1,210,420",Asia,,,,
137,Suriname,"5,225",,112,,"5,097",16,6,"8,879",190,"19,423","33,007","588,459",South America,,,,
138,Rwanda,"5,192",,36,,"4,940",216,,398,3,"564,676","43,232","13,061,616",Africa,,,,
139,Andorra,"5,135",,75,,"3,858","1,202",22,"66,423",970,"146,308","1,892,534","77,308",Europe,,,,
140,Equatorial Guinea,"5,092",,85,,"4,968",39,2,"3,590",60,"66,600","46,950","1,418,521",Africa,,,,
141,Iceland,"5,017",,18,,"4,237",762,4,"14,669",53,"361,973","1,058,354","342,015",Europe,,,,
142,CAR,"4,866",,62,,"1,924","2,880",2,"1,002",13,"32,711","6,733","4,858,655",Africa,,,,
143,Aruba,"4,564",,39,,"4,352",173,4,"42,685",365,"41,208","385,395","106,924",North America,,,,
144,Mayotte,"4,550",,45,,"2,964","1,541",6,"16,542",164,"15,781","57,373","275,060",Africa,,,,
145,Guyana,"4,393",,130,,"3,409",854,11,"5,576",165,"21,091","26,769","787,878",South America,,,,
146,Somalia,"4,229",,107,,"3,247",875,,264,7,,,"16,043,682",Africa,,,,
147,Martinique,"4,215",,33,,98,"4,084",16,"11,235",88,"54,161","144,367","375,163",North America,,,,
148,Belize,"3,977",+72,66,+2,"2,323","1,588",2,"9,940",165,"24,418","61,028","400,109",North America,,,,
149,Thailand,"3,818",+8,60,+1,"3,639",119,1,55,0.9,"977,854","13,997","69,861,320",Asia,,,,
150,Gambia,"3,681",,120,,"3,518",43,,"1,509",49,"21,225","8,700","2,439,700",Africa,,,,
151,Mali,"3,633",,137,,"2,807",689,,178,7,"78,520","3,840","20,448,517",Africa,,,,
152,Uruguay,"3,309",,61,,"2,814",434,6,951,18,"334,146","96,076","3,477,942",South America,,,,
153,South Sudan,"2,943",,59,,"1,290","1,594",,262,5,"12,044","1,072","11,239,191",Africa,,,,
154,Benin,"2,745",,43,,"2,466",236,,224,4,"259,047","21,179","12,231,195",Africa,,,,
155,Burkina Faso,"2,550",,67,,"2,347",136,,121,3,,,"21,097,894",Africa,,,,
156,Togo,"2,442",,57,,"1,708",677,,293,7,"125,150","14,997","8,344,954",Africa,,,,
157,Guinea-Bissau,"2,414",,42,,"1,862",510,5,"1,217",21,,,"1,983,874",Africa,,,,
158,Sierra Leone,"2,371",,74,,"1,805",492,,295,9,,,"8,032,578",Africa,,,,
159,Yemen,"2,063",,601,,"1,375",87,,69,20,"16,658",554,"30,050,601",Asia,,,,
160,New Zealand,"1,974",+1,25,,"1,905",44,,395,5,"1,126,986","225,303","5,002,100",Australia/Oceania,,,,
161,Lesotho,"1,963",,44,,988,931,,914,20,"23,138","10,771","2,148,159",Africa,,,,
162,Chad,"1,529",,99,,"1,354",76,,92,6,,,"16,585,631",Africa,,,,
163,Liberia,"1,440",,82,,"1,305",53,2,282,16,"30,332","5,949","5,098,254",Africa,,,,
164,Niger,"1,226",,69,,"1,142",15,9,50,3,"37,896","1,547","24,500,627",Africa,,,,
165,Vietnam,"1,207",,35,,"1,069",103,,12,0.4,"1,246,480","12,766","97,643,004",Asia,,,,
166,San Marino,"1,043",,42,,754,247,2,"30,716","1,237","11,257","331,517","33,956",Europe,,,,
167,Curaçao,"1,030",,2,,768,260,5,"6,268",12,"13,837","84,204","164,328",North America,,,,
168,Sao Tome and Principe,958,,16,,909,33,,"4,344",73,"6,484","29,398","220,557",Africa,,,,
169,Channel Islands,905,,48,,751,106,10,"5,189",275,"165,849","950,860","174,420",Europe,,,,
170,Sint Maarten,877,,23,,780,74,6,"20,374",534,"6,921","160,785","43,045",North America,,,,
171,Gibraltar,754,,,,655,99,1,"22,383",,"69,808","2,072,253","33,687",Europe,,,,
,,721,,15,,659,47,4,,,,,,,,,,
172,Diamond Princess,712,,13,,659,40,4,,,,,,,,,,
173,Turks and Caicos,705,,6,,691,8,1,"18,124",154,"4,846","124,582","38,898",North America,,,,
174,Liechtenstein,692,,3,,454,235,14,"18,131",79,"9,155","239,873","38,166",Europe,,,,
175,Burundi,606,,1,,511,94,,50,0.08,"49,642","4,133","12,010,650",Africa,,,,
176,Saint Martin,604,,12,,522,70,4,"15,530",309,"6,373","163,860","38,893",North America,,,,
177,Papua New Guinea,597,,7,,580,10,,66,0.8,"29,466","3,272","9,005,212",Australia/Oceania,,,,
178,Taiwan,569,,7,,523,39,,24,0.3,"103,117","4,327","23,831,884",Asia,,,,
179,Comoros,557,,7,,525,25,,636,8,,,"875,942",Africa,,,,
180,Tanzania,509,,21,,183,305,7,8,0.3,,,"60,311,107",Africa,,,,
181,Faeroe Islands,495,,,,490,5,,"10,117",,"156,223","3,192,916","48,928",Europe,,,,
182,Eritrea,484,,,,429,55,,136,,,,"3,563,382",Africa,,,,
183,Mauritius,453,,10,,416,27,,356,8,"278,091","218,538","1,272,508",Africa,,,,
184,Monaco,430,,2,,318,110,6,"10,931",51,"51,953","1,320,649","39,339",Europe,,,,
185,Bhutan,358,,,,333,25,,462,,"178,699","230,712","774,554",Asia,,,,
186,Isle of Man,357,,24,,324,9,,"4,191",282,"16,463","193,250","85,190",Europe,,,,
187,Mongolia,356,+3,,,314,42,1,108,,"92,274","27,992","3,296,481",Asia,,,,
188,Cambodia,292,,,,286,6,,17,,"191,564","11,403","16,798,918",Asia,,,,
189,Cayman Islands,244,,1,,233,10,1,"3,698",15,"47,778","724,030","65,989",North America,,,,
190,Barbados,239,,7,,224,8,,831,24,"37,546","130,596","287,498",North America,,,,
191,Bermuda,207,,9,,179,19,,"3,328",145,"89,904","1,445,472","62,197",North America,,,,
192,Seychelles,157,,,,151,6,,"1,593",,"5,200","52,760","98,559",Africa,,,,
193,Caribbean Netherlands,153,,3,,145,5,,"5,816",114,"3,353","127,452","26,308",North America,,,,
194,Brunei,148,,3,,144,1,,337,7,"69,973","159,416","438,934",Asia,,,,
195,Antigua and Barbuda,130,,3,,118,9,,"1,324",31,"3,725","37,929","98,211",North America,,,,
196,Saint Lucia,106,,,,32,74,,576,,"11,864","64,506","183,920",North America,,,,
197,St. Barth,90,,,,77,13,,"9,102",,"3,808","385,113","9,888",North America,,,,
198,St. Vincent Grenadines,76,,,,71,5,,684,,"7,526","67,763","111,063",North America,,,,
199,British Virgin Islands,71,,1,,70,0,,"2,343",33,"5,193","171,380","30,301",North America,,,,
200,Dominica,57,,,,35,22,,791,,"4,765","66,136","72,049",North America,,,,
201,Macao,46,,,,46,0,,71,,"4,238","6,496","652,394",Asia,,,,
202,Fiji,34,,2,,31,1,,38,2,"12,527","13,939","898,708",Australia/Oceania,,,,
203,Grenada,30,,,,27,3,,266,,"6,252","55,472","112,705",North America,,,,
204,Timor-Leste,30,,,,29,1,,23,,"11,268","8,491","1,327,065",Asia,,,,
205,New Caledonia,29,,,,28,1,,101,,"15,946","55,667","286,451",Australia/Oceania,,,,
206,Vatican City,27,,,,15,12,,"33,666",,,,802,Europe,,,,
207,Laos,24,,,,23,1,,3,,"67,270","9,200","7,312,011",Asia,,,,
208,Saint Kitts and Nevis,19,,,,19,0,,356,,"3,138","58,841","53,330",North America,,,,
209,Greenland,17,,,,17,0,,299,,"11,467","201,866","56,805",North America,,,,
210,Saint Pierre Miquelon,16,,,,12,4,,"2,766",,"2,519","435,512","5,784",North America,,,,
211,Montserrat,13,,1,,12,0,,"2,604",200,483,"96,735","4,993",North America,,,,
212,Falkland Islands,13,,,,13,0,,"3,699",,"2,682","763,233","3,514",South America,,,,
213,Solomon Islands,13,,,,4,9,,19,,115,166,"692,625",Australia/Oceania,,,,
214,Western Sahara,10,,1,,8,1,,17,2,,,"602,344",Africa,,,,
215,MS Zaandam,9,,2,,,7,,,,,,,,,,,
216,Anguilla,3,,,,3,0,,199,,"1,820","120,930","15,050",North America,,,,
217,Marshall Islands,1,,,,,1,,17,,,,"59,329",Australia/Oceania,,,,
218,Wallis and Futuna,1,,,,1,0,,90,,"1,046","93,652","11,169",Australia/Oceania,,,,
,Total:,"11,813,052","+5,862","360,400",+552,"7,760,985","+4,886","3,691,667","21,812",,,,,,North America,,,
,Total:,"14,138,234","+2,849","250,806",+32,"12,620,885","+1,950","1,266,543","22,649",,,,,,Asia,,,
,Total:,"9,877,810",+139,"300,040",+10,"8,855,419",+544,"722,351","17,845",,,,,,South America,,,
,Total:,"11,310,734","+11,128","283,103",+189,"4,164,627",+653,"6,863,004","25,272",,,,,,Europe,,,
,Total:,"1,854,169",,"44,316",,"1,548,650",,"261,203","2,428",,,,,,Africa,,,
,Total:,"40,046",+10,980,,"32,816",,"6,250",24,,,,,,Australia/Oceania,,,
,Total:,721,,15,,659,,47,4,,,,,,,,,
,Total:,"49,034,766","+19,988","1,239,660",+783,"34,984,041","+8,062","12,811,065","90,034","6,290.7",159.0,,,,All,,,
